"noaa","name","year","origin","destination","count"
"GHCND:USC00020100","ALAMO DAM, AZ","2000","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2000","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2001","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2001","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2002","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2002","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2003","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2003","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2004","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2004","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2005","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2005","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2006","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2006","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2007","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020100","ALAMO DAM, AZ","2007","GHCND:USC00020100","GHCND:USC00020100","1"
"GHCND:USC00020159","ALPINE, AZ","1951","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1952","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1953","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1954","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1955","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1956","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1957","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1958","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1959","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1960","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1961","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1962","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1963","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1964","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1965","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1966","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1967","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1968","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1969","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1970","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1971","GHCND:USC00020159","GHCND:USC00020159","1"
"GHCND:USC00020159","ALPINE, AZ","1972","GHCND:USC00020159","GHCND:USC00020159","1"
